,title,description
469,Sales Manager,"Requisition Number: 29288

Job Description

Cintas is seeking an Assistant Route Service Sales Representative. Responsibilities include providing route service to a set customer base, through the pick-up and delivery of uniforms and facility services products such as floor mats, dust mops, air fresheners, soaps, restroom paper supplies and other ancillary products. Daily duties involve lifting, carrying and walking clean products into and soiled products out of customer accounts, as well as occasionally driving a company-owned vehicle to and from numerous customer stops throughout the day. The vast majority of RSSRs work 4 days per week and no weekends.



Skills/Qualifications

Required
Qualified candidates must meet all requirements outlined by the Department of Transportation (DOT) for driving a regulated vehicle weighing more than 10,000 lbs. In order to comply with DOT requirements, qualified candidates must, prior to their first day of employment:
Have an active driver's license
Be at least 21 years of age
Obtain a DOT medical certification
Provide documentation regarding their previous employment

All successful candidates will also possess:
The ability to meet the physical requirements of the position
A High School diploma, GED or Military Service
The ability to demonstrate a strong customer service orientation
Self-motivation and the drive to work in an environment that relies on teamwork to meet goals
A positive attitude, along with ambition, organization and service spirit

This is a rewarding opportunity! To support our aggressive growth plans, we offer unique opportunities, including advancement, ongoing training, mentoring and the opportunity to develop world class business skills.


Our employee-partners enjoy:
Competitive Pay
401(k)/Profit Sharing/ESOP
Medical, Dental and Vision Insurance Package
Disability and Life Insurance Package
Paid Time Off and Holidays
Career Advancement Opportunities
Headquartered in Cincinnati, Cintas is a publicly held company traded over the Nasdaq Global Select Market under the symbol CTAS and is a component of both the Standard & PoorÛªs 500 Index and Nasdaq-100 Index.
Cintas Corporation helps more than 900,000 businesses of all types and sizes get READYã¢ to open their doors with confidence every day by providing a wide range of products and services that enhance our customersÛª image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and safety and compliance training, Cintas helps customers get Ready for the Workdayå¨.
To support our growth across North America, weÛªre seeking driven professionals with ambition to move up within our company. Our professional culture, our dedication to our employee-partners and limitless career opportunitiesÛÓthese are just a few benefits weÛªre proud to offer. Our employee-partners know every job is critical, and that teamwork drives innovation. LetÛªs talk about how youÛªll fit into our team and how your hard work will be recognized through competitive pay, world-class benefits and ongoing career development. Are you Readyã¢ for limitless opportunities at Cintas?
Cintas Corporation is an EEO/Affirmative Action Employer and will make all employment-related decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
Job Category: SSR
Organization: Rental
Employee Status: Regular
Schedule: Full Time
Shift: 1st Shift"
473,Lab Technician,"Responsible for the accurate and timely sampling, testing, shipping and storage of plasma collected from donors.


1 In compliance with Standard Operating Procedures (SOPs), responsible for collecting plasma samples and moving plasma units to freezer to ensure product quality.

2 Ensures plasma units are properly stored according to SOPs, which could include unsuitable plasma units and samples.

3 Ensures accuracy of unit labeling by verifying the pre-printed label matches the dynamic label.

4 Utilizes sterile technique to draw samples and uses heat sealer to assure the sterility and quality of plasma unit samples per SOPs.

5 May ensure samples and units are packed and shipped in accordance with SOPs and center procedures. Prepares shipping and unit disposal documentation.

6 Monitors freezer and refrigerator temperatures and immediately informs appropriate personnel if equipment is not functioning properly. Records variances.

7 Conducts daily calibration of equipment according to SOPs.

8 Ensures the accurate recording of donor data in the electronic donor information management system as outlined in the SOPs.

9 Understands the policies and procedures associated with hyper immune programs at the center if applicable.

10 Maintains clean efficient work environment, and ensures sufficient operating supplies and forms are available as needed. Follows all Health Safety & Environmental (HSE) and Occupational Safety and Health Administration (OSHA) policies and procedures. Promotes safety in all actions.

11 Maintains confidentiality of all personnel, donor and center information.

12 May be cross-trained in other areas to meet the needs of the business.

13 Bilingual skills may be required, at the discretion of the organization, to meet the needs of the business.

14 Perform other job-related duties as assigned.


Education

High school diploma or equivalent required

Experience

Minimum of three (3) months experience in laboratory or warehouse environment preferred or equivalent combination of education and experience
Must be able to perform basic math calculations

Working Conditions

(physical & mental requirements)

Ability to understand, remember and apply oral and/or written instructions
Ability to understand and follow basic instructions and guidelines
Must be able to see and speak with customers and observe equipment operation.
Occasionally perform tasks while standing and walking up to 100% of time
Reach, bend, kneel and have high level of manual dexterity
Occasionally be required to lift and carry up to 25 pounds
Fast paced environment with frequent interruptions
Frequently exposed to hazardous chemicals, extreme temperatures and to blood borne pathogens
Required to wear Personal Protective Equipment while performing specific tasks or in certain areas
Required to work overtime and extended hours to support center operational needs


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, disability, veteran status, national origin or other legally protected classifications.


Worker Type:
Employee


Worker Sub Type:
Regular"
474,Professional Development Program,"TemporaryWhat we offer
You will work on exciting and challenging topics together with a team in an ultra-modern, innovative and creative environment. Intensive on-the-job training with expert colleagues guarantees you will quickly become familiar with your duties and perform them independently. Performance related pay and the opportunity for personal and professional development are of course part of the package. Since 2009 Evonik Industries AG has been certified as a family-friendly company by the German Hertie Foundation.
Click here to learn more about Evonik from our employees


RESPONSIBILITIES
Your impact on the world begins here. Evonik is the right place to make a difference. We are seeking innovative, self-starters to join our team. We offer you the opportunity to spend the summer at one of our sites in North America to work on meaningful projects and network with professionals to apply what you are learning in school. There are various summer internship opportunities available in the areas of Engineering, Chemistry, Business and Marketing.


REQUIREMENTS
Must be pursuing an undergraduate or graduate degree in a related field
Demonstrated academic achievement (minimum GPA 3.0)
Ability to relocate anywhere in the US
Excellent communication skills
Authorization to work in the US without restrictions or need for future sponsorship



Your Application
To ensure the fastest process of your application and to protect the environment, please apply online via our careers portal at https://careers.evonik.com.
VACANCY REFERENCE NUMBER 111653

Evonik Corporation is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, gender, sexual orientation, national origin, disability status, protected veteran status or any other legally protected status.
Please note that Evonik will not accept any unsolicited application documents sent by staffing firms. Evonik works in conjunction with preferred service providers and will not pay any fee to staffing firms in the absence of an appropriate framework agreement. Should Evonik receive a candidate profile from a staffing firm with which it has no framework agreement, and should this candidate subsequently be considered in the recruitment process or offered employment, no claims from the staffing firm will be entertained in this regard."
475,Food Service Worker,"Part-timeWe have openings for full-time & part-time FOOD SERVICE WORKER positions.
Location: Subaru - 5500 State Rd 38 E, Lafayette, IN 47905. Note: online applications accepted only.
Schedule: F/T and P/T; 2nd shift. More details available upon interview.
Requirement: Prior food service experiene is a plus.

If you have a positive attitude and a love for learning, you may be interested in joining our team.

Eurest is recognized worldwide for standards of service and excellence within the foodservice industry. Embracing an ownership mindset, Eurest leverages global resources, promotes a local presence and enriches the communities we serve. The Eurest Promise, ÛÏconnect with people, inspire through food, create solutions, and live our promise,Û is exemplified throughout our organization. Eurest is proud to serve the worldÛªs most respected successful corporations, including many of the Fortune 500.

Full time associates at Eurest are offered many fantastic benefits such as:
Medical
Dental
Vision
Flexible Spending Accounts (FSAs)
Commuter Benefits
Wellness Program
Employee Assistance Program
Life Insurance for Associates and Eligible Dependents
Short Term Disability (STD) and Long Term Disability (LTD)
Accidental Death & Dismemberment (AD&D) Insurance
Discount Marketplace
And other voluntary benefits
Job Summary



Summary: Prepares, presents and serves food as needed.

Essential Duties and Responsibilities:
Performs prep work such as washing, peeling, cutting and seeding fruits and vegetables.
Weighs and measures designated ingredients.
Carries pans, kettles and trays of food to and from work stations, stove and refrigerator in accordance with safety standards.
Stores food in designated areas following wrapping, dating, food safety and rotation procedures.
Cleans work areas, equipment and utensils.
Distributes supplies, utensils and portable equipment.
Utilizes approved food recipes and production standards to ensure proper quality, serving temperatures and standard portion control.
Serves customers in a friendly, efficient manner following outlined steps of service.
Resolves customer concerns and relays relevant information to supervisor.
Ensures compliance with company service standards and inventory and cash control procedures.
Assures compliance with all sanitation and safety requirements.
Performs other duties as assigned.



About Compass Group: Achieving leadership in the foodservice industry

Compass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.
Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance).
Req ID: 230372
Hourly"
476,Presales Analyst,"Arconic Engineered Structures (AES) is seeking a Presales Analyst to help grow the AES portfolio in the automotive, industrial, and aerospace markets. Our organization is dedicated to rapid, profitable growth through continuous capital investment, operational excellence and career development. The ideal candidate will engage respectfully with all stakeholders, anticipate challenges, proactively bring solutions, and champion integrity. If this describes you, then we encourage you to apply. This position reports to the Presale Team Leader and is based in Lafayette, Indiana.
Arconic Engineered Structures (AES) serves the global aerospace and automotive markets with the most specialized engineering, highest quality, and the greatest breadth and depth of forgings and extrusions. Our vertically integrated capabilities and deep materials science expertise in aluminum and titanium structural casting is taking the industry to new heights. This BU is also home to our suite of direct and hybrid additive offerings. Headquartered in Cleveland, OH; AES employs 6000 people in 6 countries at 30 locations. AES is a business unit of Arconic (NYSE: ARNC).
Company Benefits: Arconic offers eligible employees a comprehensive benefits package designed to assist employees and their families with financial security, health and well-being. In addition to competitive pay and career advancement opportunities, we off a variety of benefit programs:
Medical, Life, Dental and Vision Plans
401(k) Program with a Company Match (up to 6%)
Retirement contribution (3%)
Performance Pay based on company results (up to 5%)
Competitive annual vacation accrual
10 annual paid holidays
Employee discount programs

Profile: The Presales Analyst primary objective is to grow the AES portfolio in the automotive, industrial, and aerospace markets through accurate estimating, documenting and providing technical assistance to Inside and Outside sales.
#LI-DR1

Qualifications

Essential Functions: The Presales Analyst position within AES includes strong attention to detail and tactical execution, including but not limited to:
Assist in improving our current Estimating work procedure and work instruction documentation.
Respond to SalesÛª customer RFQs via Quote Master in timely manner with producibility, accurate product calculations, manufacturing site and preferred equipment, and pricing guidelines.
Provide research and analysis of cost and productivity data for the AFE production facilities through the use Oracle TPS data and estimated cost based on Burden Rates.
Layout of preliminary profiles using AutoCAD/ETA to be utilized for accurate calculation of physical characteristics, tolerancing and ME% calculation.
Accurate interpretation/calculation of all attributes and producibility for each RFQ including but not limited to customer part drawings, spec review, and die prints
Understanding business guidelines along with current capacities, constraints, and cost among other factors to appropriately direct business to the optimal manufacturing flow-path.
Clarifying all manufacturing, quality and planning issues invoked by the customer print and specifications.
Provide technical assistance to Inside and Outside Sales persons on producibility, manufacturing and quality and pricing concerns.
Continuous improvement for accuracy, consistency, efficiency and clarity in the Estimating/Quoting process and Quotemaster tools.
Other misc. clerical and administrative duties as required to assist the Commercial Organization in providing timely and accurate responses to all inside/outside sales personnel and customers, representing the AES Business Unit.

Essential Knowledge/Skills/Abilities:
Customer and Personal Service ÛÓ Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.
Disciplined Execution ÛÓ Job requires holding the team accountable through daily execution to the plan. When required, he/she will need to be able to dive into details to ensure operational success.
Negotiation ÛÓ Bringing others together and trying to reconcile differences.
Service Orientation ÛÓ Actively looking for ways to help people.
Written and Verbal Expression ÛÓ The ability to communicate information and ideas verbally and in writing so others will understand.
Dependability ÛÓ Job requires being reliable, responsible, and dependable, and fulfilling obligations;
Integrity ÛÓ Job requires being honest and ethical.
Stress Tolerance ÛÓ Job requires dealing calmly and effectively with high stress situations.
Active Listening ÛÓ Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
Critical Thinking ÛÓ Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
Monitoring ÛÓ Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action;
Time Management ÛÓ Managing one's own time and the time of others.
Problem Sensitivity ÛÓ The ability to tell when something is wrong or is likely to go wrong;
Proficient in Microsoft Office Suite.
Basic Qualifications:
High School Diploma or GED from an accredited institution.
Employees must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.
This position is subject to the International Traffic in Arms Regulations (ITAR) which requires U.S. person status. ITAR defines U.S> person as an U.S. Citizen, U.S> Permanent Resident (i.e. Û÷Green Card HolderÛª), Political Asylee, or Refugee.

Preferred Qualifications:
Minimum of 1 years of business experience.
Familiarity Auto Cad or related software program
Familiarity with manufacturing
Familiarity with quality as it relates to manufacturing
Bachelor's Degree in Engineering, Mathematics or equivalent from an accredited institution.
3 + year experience Estimating, Presales or equivalent industry or market segments.
3+ years of experience working in commercial aerospace manufacturing marketing.
Understanding of Metals Processing, basic metallurgy and basic supply chain management to understand the areas of value to determine appropriate value pricing strategies and competitive pricing strategies and approaches.

Primary Location: United States-IN-Lafayette
Work Locations: US LAF Lafayette, Indiana 3131 E. Main Street Lafayette 47905
Job: Marketing and Sales
Organization: ARCONIC ENGINEERED STRUCTURES
Shift: Day Job

Hourly Paid or Salaried: Salaried
Job Level: Non-Management
Travel: Yes, 25 % of the Time
Job Posting: Nov 7, 2018, 2:19:03 PM
Minimum Years of Experience: 3"
477,Assistant Manager,"At Torrid, we celebrate every shape, every size, and every curve of our customer. Our Torrid stores offer an exciting, one of a kind, and amazing experience for not just our customers, but our employees.

As an Assistant Store Manager, you'll assist in creating a team environment which fosters inclusivity and positive connections. In this role, you'll support the Store Manager by directing and leading the team to achieve store objectives which include sales and profit goals, recruiting, performance management, training, and development.

What You'll Do:

In partnership with Store Manager ensure store is achieving company objectives and KPI goals
Provide leadership around running an operationally sound business by balancing company policies, procedures, shrink/loss prevention, payroll, reporting, and scheduling
Help recruit, develop and train top talent who are sales, customer, and fashion-focused
Set the example for The Torrid Connection and ensure the team is providing a shopping experience that will encourage positive customer connections and loyalty
Support Store Manager in implementing merchandise strategies while also providing a clean, consistent, and inviting store environment that inspires customers to shop
Maintain an effective and open line of communication with Store Manager and District Manager
What You'll Need:

At least six months of specialty/apparel retail management experience with proven ability to lead teams to success and proven sales performance
High School graduate or GED equivalent. College degree is a plus
Ability to multitask in a fast paced environment while also being committed to creating an amazing customer experience
Retail and fashion are always changing, so flexibility and ability to adapt to any situation, the environment, challenges, job duties, and work schedules are pillars to your success
Be fashioned focused and stay on top of current trends
Be at least 18 years of age
What You'll Get:

A competitive benefits package including medical, dental, vision, 401k with company match, life insurance, short-term disability, vacation and sick time available, paid company holidays and jury duty
Additional perks include: monthly bonus potential, associate discount 40%, tuition reimbursement, childcare discount program
The job posting is intended to describe the general nature of work being performed by associates assigned to this job. It is not intended to be inclusive of all duties and responsibilities and is subject to change."
478,Shift Lead,"Opens and closes the store in the absence of store management, including all required systems start-ups, required cash handling, and ensuring the floor and stock room are ready for the business day. Responsible for opening back door of store for deliveries.
Completes product returns, order voids, customer refunds, cash drops to the safe, and provides change as requested to cash registers.
Models and delivers a distinctive and delightful customer experience.

Customer Experience
Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience.
Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.).
Operations
Responsible for holding store keys to open and close without management as necessary.
Assists with and coaches other team members to work with warehouse and vendor ordering process as the orders are created, reviewed, and received, including opening the backdoor for vendor deliveries.
Responsible and accountable for registering all related sales on assigned cash register, including records of scanning errors, price verifications, items not on file, price modifications, and voids.
Assists manager or assistant store manager in reviewing order exceptions on order release day and assists in reverse logistics (e.g., 1506, returns, empty package).
Assists manager or assistant store manager in evaluating and developing displays, including promotional, seasonal, super structures, and sale merchandise. Completes resets and revisions.
Maintains accurate inventory counts; maintains the accuracy of on-hand quantities including, but not limited to, basic departments, stockroom, and overstock locations.
Assist with ensuring the Outdate program is followed with team members.
Responsible for basic department pricing and making daily price changes; ensures proper signage is displayed at the store to support accurate pricing of products. Ensures any additional pricing tasks related to local regulations and/or regulatory compliance programs are completed accurately and within the required time frame.
Assist with bookkeeping activities, including cash report, cash counts, ledgers, and bill payment as necessary or as requested.
Assists with exterior and interior maintenance by ensuring clean, neat, orderly store condition and appearance, including requesting store or system repairs as required in manager absence, or as requested by manager.
Assists with separation of food items (e.g., raw foods from pre-cooked) and product placement as specified by policies/procedures (e.g., raw and frozen meats on bottom shelves). For consumable items, assists in stock rotation, using the first in, first out method and restock outs.
Has working knowledge of store systems and store equipment.
Assist at Pharmacy out window as requested.
Ensures compliance with state and local laws regarding regulated products (e.g., alcoholic beverages and tobacco products).
Responsible for bag checks of team members before leaving the store.
Complies with all company policies and procedures; maintains respectful relationships with coworkers.
Completes special assignments and other tasks as assigned.
Training & Personal Development
Attends training and completes PPLs requested by Manager.
Obtains and maintains valid PTCB certification or pharmacy license as required by state.
Communications
Serves as a liaison between management and non-management team members by communicating assigned tasks to team members when store management is not present.
Reports disciplinary issues and customer complaints to management.
One year of prior retail work experience as a retail key carrier or shift leader.
Must be fluent in reading, writing, and speaking English. (Except in Puerto Rico)
Willingness to work flexible schedule, including evening and weekend hours.
Prefer the knowledge of store inventory control."
480,Product Manager,"Be visionary

At FLIR, we have a simple but ambitious mission: to develop market-leading thermal and sensing technologies which enhance everyday life. From saving energy, to saving lives FLIR is making a real difference in our world.


Our products are used in a wide array of situations to rescue people in danger, detect criminals, conserve energy, navigate safely, provide security around the globe, and protect our environment.

We are looking for individuals who thrive on making an impact and want the excitement of being on a team that wins.

Job Description

As the technical spokesperson for a Chemical Detection product line, you will build product specifications from customer and market needs into go-to-market products. Proactively manage and guide the product development, product release and market adoption of best-in-class FLIR Detection Chemical Detection products. Clearly define and manage the Product Roadmap. This position will include developing market knowledge that drives market differentiation of each new product development or upgrade and as needed, support of sales efforts.

Primary Duties & Responsibilities:
Define FLIR Detection Chemical Detection Markets
Support the development of winning market strategies
Be the expert on Chemical Detection product positions, price performance trade-space, win strategies, relevant market trends
Develop strong customer intimacy, understanding the customer chain of influence, and product journey
Understand trends and market developments, and government programs to ensure products exceed the expectations of our customers.
Understand intricacies and trade-space of domestic, European, Asia Pacific, and Rest of World markets to drive universally appealing products and market positions.

Define FLIR Detection Chemical Detection Products
Gather and prioritize product requirements by on-going visits to customers, industry experts, and qualifying government agencies
Work with customers, sales team, and technical experts to provide feature definition for the development & design of new products
Work directly with Product Development and Manufacturing teams to understand technical feasibility resource loading to ensure properly scoped Product Development efforts
Define Product Roadmap for FLIR Detection Chemical Detection product line
Work with General Manager, Director of Products, Vertical Sales Director, VP Programs, VP of Sales, and VP of Engineering to prioritize R&D expenditures ensuring product development efforts are in line with business strategy Rack and Stack

Manage the FLIR Detection Chemical Detection Phase Gate Process
Working closely with the Project Management Leads, propose and track overall product development process and budgets to ensure success
Set Product pricing to meet revenue and profitability goals
Participate in the generation of essential third-party lab data and operational tests
Support a company-wide go-to-market plan, working with all departments to execute
Oversee successful product launches

Manage FLIR Detection Chemical Detection Products
Brief and train the sales team and k ey distributors
Support sales team with key customers and programs
Determine lifecycle and obsolescence of products under management
Assist with Market and Product Specific Technical Writing
Assist with Drafting (as needed) and final review of technical product manuals to ensure quality and branding standards are maintained
Participate in Thought Leadership in the Chemical Detection community, drafting journal articles and copy for some promotional materials.
Outreporting to Upper Management
Prepare weekly outreports on Project, Product and Market Status Dashboards
Prepare for quarterly project and product reviews. Lead strategic discussions on Market, Product, and Feature development.
Present Chemical Detection Product updates at quarterly Division review meetings and discuss strategy
Prepare for and present Chemical Detection Strategy (as requested) at the quarterly Product Review Boards


Job Qualifications:
Bachelors and Advanced degrees in Science or Engineering preferred
Strong background or knowledge of Organic or Analytical Chemistry or similar.
5 or more years of applicable e x perience in product development or marketing of Chemical Detection sensor s
3-5 or more years of experience in product launches
CBRNE or HAZMAT market experience is required
Demonstrated experience in development, sales, or marketing of technical products
Proven capability to champion a product from development to launch
Hi g h energy, direct, proactive with strong vision casting and leadership skills
Ability to effectively communicate and interact with customers , team m e mbers , and corporate management
Ability to quickly reorient with new information and direction in an engaging market
Experience with Microsoft Office applications, in particular E x cel and Project
Technical research experience in the field of CBRNe sensors is desired
S trongly oriented toward consensus building and working in a team setting
25 % to 50 % t ra v el
US Citizenship Required
Must have or be able to obtain a SECRET level clearance.

MR

FLIR and all of our employees are committed to conducting business with the highest ethical standards. We require all employees to comply with all applicable laws, regulations, rules and regulatory orders. Our reputation for honesty, integrity and high ethics is as important to us as our reputation for making innovative sensing solutions.

FLIR is an equal opportunity employer."
481,Operations Manager,"ESSENTIAL JOB FUNCTIONS
Daily monitoring, analysis, and reporting of the facilityÛªs productivity
Report analyses of quality issues resulting from the manufacturing facilities, which includes the delivery of products and quality concerns from customers
Provide assistance to customers on quality issues, improvement activities, and trouble shooting
Provide support for prototype development production trials at both the assembly plant and the customer, as required

Û¢ Coordinate with the manufacturing facilitiesÛª gauge SMEÛªs on tool and gauge calibration activities Û¢ Monitor shipping performance of facility
Establish, revise, and standardize QMS procedures based on CarlexÛªs quality standards
Assist process and Quality teams to establish and revise PFMEA control plan
Coordinate formal operating agreements and establish or revise the PFMEA control plan
Coordinate quality claim analysis and countermeasure approval
Develop benchmarking activities with other assembly facilities
Conduct and manage the Performance Management Program for employees in the facility
Conduct compliance audits as required
Assign and monitor work assignments among management
Provide input into establishing production and yield goals for facility
Review daily production data and assist with quarantined products in a timely manner
Coordinate employee training for new products and processes

REQUIREMENTS

Education:
BachelorÛªs degree in Engineering, Business Administration, or related field required

Years of Experience:
7+ years of experience in a manufacturing or industrial environment required
4+ years in a managerial role required

Other Requirements:
Valid driverÛªs license required for business travel
Regular and predictable attendance required
Cooperate within teams to carry out tasks and responsibilities
Experience with process and inventory control preferred
Work beyond the traditional 40 hours per week may be required as work load or projects dictate, including weekends and holidays

KEY COMPETENCIES
Advanced/Intermediate skill level with Microsoft Office Suite; Word, Excel, and PowerPoint
Intermediate level of negotiation skills
Excellent communication skills, both verbal and written
Hands-on approach to problem solving and analysis
Excellent Analytical Skills
Ability to lead using the Servant Leadership Model
Ability and willingness to uphold the Carlex Values of Safety, Accountability, Results Oriented, Team Approach, Customer Focused, and strong Integrity and Ethics"
484,Administrative Assistant,"$14 an hourAdecco is assisting a local client in recruiting for an organized Administrative Assistant in West Lafayette, IN. This is for a long term temporary opportunity. Hours are 8am to 5pm Monday through Friday with 1-hour lunch. Pay is $14.00 an hour.
As an Administrative Assistant you will perform routine clerical and administrative functions such as greeting, answering and transferring calls, providing information and directions to callers, scheduling appointments, and all front office tasks, such as compiling, printing, and distributing daily calendars, reviewing submitted forms, assisting with written correspondence, drafting new documents, maintaining files and databases, responding to general emails and assisting with projects and other tasks assigned.
If you meet the requirements below click the blue tab to the right Apply with Adecco. Once completed call our office at 765-423-1798 to complete your application.
Required:
High School diploma / GEDTwo years of professional office experienceExperience with basic office machines (fax, copier, etc.)Strong organizational and time management skills with emphasis on accuracy and attention to detailAbility to work independently and collaborate effectively in a team environmentMotivated individual with ability to efficiently multi task, work under pressure, handle frequent interruptions and meet deadlinesCapable of taking initiative, assuming responsibility and handling confidential information with discretionStrong verbal and written communication including proofreading and editingStrong interpersonal skills in a service environmentProficient in Microsoft Word, Outlook, Excel
Adecco is an Equal Opportunity Employer/Minorities/Women/Veterans/Disabled"
487,Food Service Worker,"$15 - $25 an hourPart-time, Temporary, ContractRICEPO is the No.1 Asian food delivery app in the U.S.We are looking for food delivery drivers in our West Lafayette, IN Branch! Considering the amount of Asian international students in this area, RICEPO can really help drives in this area make up to $25/h!!If you meet these requirements give us a message and we will help you onboarding within one business day!!To become a delivery driver you must meet the following requirements:1. A valid Driver's License2. Reliable vehicle with insurance3. Reliable smartphone4. Ability to pass a background checkDriver daily responsibilities include the following:1. Picking up orders from different restaurants2. Communicating with the RICEPO team and your local branch drivers/manager3. Delivering in a timely mannerJob Types: Full-time, Part-time, TemporarySalary: $15.00-25.00/hourJob Type: ContractSalary: $15.00 to $25.00 /hourExperience:delivery driver: 1 year (Preferred)License:Driver's License (Required)Work authorization:United States (Preferred)"
488,Supervisor,"Job Profile Summary

Collaborates with Assistant Manager of Quality/Center Manager to ensure compliance with all relevant regulatory standards to ensure center is inspection ready at all times. May assume responsibility as AMQ when quality business needs are identified. This position should not be involved in manufacturing activities and must be independent from production with no additional operational responsibilities.


1 Act as lead supervisor in ensuring the day-to-day activities of quality operations are compliant with Standard Operating Procedures (SOPs) and applicable federal and local regulations as well as HR policies. Advise management of ER issues or escalated quality issues.

2 Maintain clean efficient work environment, and ensure sufficient operating supplies and forms are available. Comply with all Health Safety and Environmental (HSE) and Occupational Safety and Health Administration (OSHA) policies and procedures. May conduct routine internal procedures and documentation audits. Promote safety in all actions.

3 Develop quality knowledge and assist with identifying problem areas and implement corrective action as needed with management oversight. Ensure excellent customer service by all staff.

4 Partner with quality management in collecting and analyzing data to support continuous improvement resulting in improved customer/donor service, product yields and financial results while maintaining compliance and quality. Assist management in the change management process and raises ideas for consideration.

5 Coordinate and management assist with site supplier, customer and regulatory audits. Participate in the review of findings, deviation management (RCA) and written responses, as needed, to ensure a successful closure of audits. Utilize quality tools and applications to facilitate understanding of issues and documentation.

6 Partner with quality and center management so that the center is ÛÏinspection readyÛ at all times and customer requirements meet the safety of donors and employees including compliance with OSHA regulations. Assist with regular reports to center, area and corporate quality management regarding systems status.

7 Collaborate with management to understand and determine quality financial responsibility including budgets, forecasts and financial impact to business including quality goals.

8 Participate with management in the recruitment and selection of quality staff and in conducting performance appraisals and performance feedback.

9 Assist management with audits by working with Assistant Manager Quality Assurance and quality team to develop effective corrective action plans to address any areas of deficiency.

10 Occasionally act as back-up manager of quality in absence of Assistant Manager Quality Assurance.

11 Must successfully complete the leadership development program and be able to relocate within 12 months.

12 Maintain confidentiality of all personnel, donor and center information.

13 May be cross-trained in other areas to meet the needs of the business.

14 Bilingual skills may be required, at the discretion of the organization, to meet the needs of the business.

15 Responsible for notification to the ADOQ for any event that negatively impacts the safety, quality, purity or potency of the product that results in pausing or disruption of business. If necessary, notification must be elevated to any of the following: Regional Director, Associate Director of QA, Divisional Director or Director of Quality Systems and Assurance.

16 Perform other duties, as assigned, to support business needs.


Education

Bachelor's degree preferred
Equivalent combination of education and professional work experience required

Experience

BS/AS degree OR
Minimum 1 year supervisory, leadership experience responsible for overseeing the activities of others OR
1 year Quality/L&D experience required
Maintain company Technical Training certification
Knowledge of ever-changing and complex government and industry regulations, and ability to monitor compliance with these regulations
Proficient in English

Working Conditions

(physical & mental requirements)

Shares information with internal contacts with common desire to reach a solution
Ability to make decisions, which have moderate impact on immediate work unit.
Must be able to see and speak with customers and observe equipment operation.
Occasionally required to work with the public when they are dissatisfied
Reach, bend, kneel and have high level of manual dexterity
Occasionally be required to lift and carry up to 25 pounds
Fast paced environment with frequent interruptions
Frequently exposed to hazardous chemicals, extreme temperatures and to blood borne pathogens.
Required to wear Personal Protective Equipment while performing specific tasks or in certain areas
Exposure to human source products and various chemicals including isopropyl, ethyl alcohol, carbon dioxide, iodine, bleach, germicide solution, etc.
Frequently required to make and accept modifications to working processes and procedures as directed by SOP
Overnight travel required up to 10% of the time


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, disability, veteran status, national origin or other legally protected classifications.


Worker Type:
Employee


Worker Sub Type:
Regular"
