desc,title 
"
        
WHO: High Tide is the top performing sales and acquisition firm in the Milwaukee area. We work exclusively with Fortune 500 clients to handle their area accounts and brand marketing strategies. Our face to face, relationship based approach has proven to be imperative to our client's bottom line and ability to build market share. We offer the technology, skills, and proven ability to get the job done.



WHAT: We are hiring for an entry level Sale Representative to join our team. You'll follow up on targeted sales leads to present portfolio options and acquire new accounts. We offer a fast paced environment that is both supportive and competitive. We put a strong focus on our team's personal and professional growth, and our office culture supports the entrepreneurial mindset needed to succeed in business.



WHEN: Our clients have recently asked us to expand into 4 new markets next year, and the opportunity within our team is greater than ever. Whether you just graduated or are simply looking for a career change, we want to meet with the Brew City's BEST!



WHY: We are the best at what we do. Our office can offer you unmatched training and development, a positive team experience, and career growth/advancement at a much faster rate that a large corporation where you are limited by budgetary issues and bureaucracy. In addition to building your future you will receive competitive compensation and bonuses.    ",Competitive & Ambitious Leaders Wanted | Entry Level New Customer Rep
"
        
You belong at Dayton Freight! Join our team of Operations Managers and be a part of The Dayton Difference.
 
Dayton Freight is a recognized leader in regional LTL transportation services and we are truly different from other carriers. It's apparent in how we treat our customers, and each other. Our culture is one of teamwork, respect and professional honesty. Dayton Freight appreciates its employees: you are not just a number, you are family. We attribute our growth to the dedication of our employees, and the loyalty of our customers and business partners.

Operations Managers develop methods and procedures for the most efficient and economical routing and movement of customers freight in an error-free manner as well as within established service center budget guidelines.

Additional job duties include:

•	Utilize T.E.A.M. System for P&D and Dock Operations as well as trailer utilization report to maximize resource (i.e. company assets, equipment, personnel) capabilities.
•	Prepare and compile daily, weekly, monthly production and service records and measure conformance to stated service center objectives.
•	Observe, inspect and measure proficiencies in service center personnel to determine changes in work practices and/or procedures necessary to improve overall service center operations.
•	Review logs and reports and confers with shift supervisory personnel to ascertain scheduling, production and administrative support function requirements.
•	Maintain superior internal and external customer relations, consistent with company policies.
•	Receive constructive criticism and praise in a business-like fashion and maintains a professional, positive attitude.
•	Assist in the training, development and evaluation of all supervisory and production personnel work performance and recommends or initiates personnel records documentation.
•	Responsible for recruitment of prospective subordinate employees, including screening, qualifying and interviewing in conjunction with Service Center Manager.
•	Inspect Service Center facilities for conformance to prescribed standards of safety and cleanliness.
•	Inspect service center for security, such as Bay doors locked at the end of each shift, tractors locked, key properly stored in designated area, freight in appointment trailers locked.
•	Responsible for routine maintenance/repairs and initiates requisitions for corrective actions required through service center manager.
•	Work closely with Line Coordinator in the planning and implementation of line haul schedules to ensure consistent attainment of on-time service performance requirements.
•	Confer with various departments to ensure coordination of service center activities; i.e. line haul, sales, maintenance and claims.
•	Issue directives to subordinates to coordinate the movement of expedited, late or special circumstance freight.
•	Assist in the investigation of all accidents on job related injuries and ensures report preparation is timely and accurate with corresponding corrective actions initiated; coordinates same with Director of Safety. Is knowledgeable and has understanding and application of company safety practices including DOT, EPA, ICC and OSHA rules and regulations and ensures worker compliance.
•	Participate in Controlled Substance Testing Program, which meets minimum Federal Motor Carrier Safety Regulations for Pre-Employment, Random Reasonable Cause and Post Accident Testing.
•	Assist in the preparation and conduct of regular service center meetings in order that all supervisory, staff and production/service personnel might be properly informed relative to service center performance, company trends, sales/marketing plans as well as individual accomplishments and performances. Is similarly for effective, consistent communications at the highest level possible as well as for facilitating our Open-Door policy.
•	Coordinate and facilitate Company as well as service center sponsored TQM Continuous Improvement Process; is persistent in our corporate commitment to quality and excellence. Timely and effectively handles special assignments as directed.

Benefits

•	Stable and growing organization
•	Competitive weekly pay
•	Quick advancement
•	Professional, positive and people-centered work environment
•	Modern facilities
•	Clean, late model equipment
•	Comprehensive benefits package: Health, Dental, Vision, AD&D, 401(k), etc.
•	Paid holidays (8); paid vacation and personal days

Please Apply Online at: 
    ",Operations Manager - Dayton Freight Lines
"
        
Horizon is an Equal Employment OpportunityAffirmative Action Employer/Non-Smoking buildings. Pre-employment drug screening required. 

 Highland Village I & 11 each offer 49 senior apartment homes.

 This is a full-time benefited salaried position. Employee does not live onsite. Pay ranges depends on experience. Annual bonus eligible. Benefits include health, dental, vision (HSA or co-insurance),life insurace, pet insurance, short and long-term disability insurance, 401(k) plan with company match, flexible spending account, paid vacation and sick time, flexible work schedules, casual dress code, milestone recognitions, educational opportunities, corporate events and outings Some weekends/nights required for open houses and tours. 

 Primary responsibility will be to ensure overall management of assigned properties. 

Leasing and Marketing:
•Utilize selection and retention strategies to maintain 100% occupancy level
•Maintains knowledge and awareness of property competition and other conditions affecting leasing and operations
•Completes all apartment tours, open houses, orientations and marketing events.
•Conduct showings for interested prospects. Track weekly leasing and conduct all follow up with potential residents including phone calls, emails, and written correspondences
•Complete all lease signing and prescribed forms in accordance with Horizon's rental policies and procedures.
•Establishes and maintains regular office and daily hours, ensuring adequate coverage on weekends
•Recertifications as applicable
•Prepares and oversees preparation of advertising and marketing plans. Tracks marketing plan to evaluate return.
•Place ads with approval from Director of Marketing/Leasing and manage accounts according to budget.
•Conduct Market Studies to remain competitive
•Manage all waitlist for each property

 Implementing Public relations and outreach for neighborhood:
•Continue relationships with local senior centers, Chamber of Commerce, and other pertinent business partners.
•Send mailings to potential residents and follow up phone calls for leads
•Group presentations and volunteer at local outreach
•Participate with local seminars and Expos for Seniors
•Hold information meetings and Clinics on property and at outreach properties

 Maintenance: Oversee Maintenance for property
•Oversee on-site maintenance staff; delegate work orders and assist in prioritizing schedule. Supervises prompt scheduling of maintenance work. Makes regular follow-up inspections on maintenance work performed.
•Makes recommendations for physical repairs, replacements and/or improvements and cost efficiency.
•Perform regular property inspections for cleanliness, curb appeal, and to ensure property is free of hazards.
•Ensure resident satisfaction

 Resident Issues and Customer Service: 
•Oversee the general harmony and community atmosphere among residents. Handle all resident issues and complaints in a courteous and professional manner.
•Issue 5 day/14 day notices
•Resident delinquencies and monitor accounts
•Landlord references and referrals
•Conduct resident surveys for retention
•Conduct yearly apartment inspections

Property Management
•Maintain and enhance relations with prospects, residents, staff and vendors
•Complete budgets for both properties
•Complete Owners Reports quarterly
•Order turnover and repairs for property
•Perform move-out inspections
•Bill Coding for all accounts
•Expedite all building refurbishments and repairs
•File and expedite all property insurance claims
•Petty cash & laundry money for all properties as outlined in policy manual
•Handle all resident transfers
•Run monthly fire drills with the Resident Manager

 Management
•Monitor income and operating expenses to meet budgetary goals and increase net operating income. Prepare annual operating budgets.
•Recruit, hire, evaluate and appropriately discipline all direct reports. Maintain personnel records, conduct timely reviews and ensure adequate/appropriate staffing.
•Train site staff 
•Reviews and approves property payables and payroll in accordance with Company policies and procedures.
•Review market survey and work closely with Leasing Manager who will prepare monthly marketing plans and place ads in appropriate venues. 
•Regularly evaluates market conditions and property comparables.
•Implements marketing plan. Makes recommendations to improve marketing and leasing programs.

 Secondary Job Functions. 

 General Office Duties:
•Answer the telephone, write service/work requests, newsletters, file, monitor and order office supplies and printed materials, etc.

Social Programming:
•Assist Resident Manager, if applicable, with resident social calendar
•Participate in and/ or host community and Horizon events for the property with assistance from the Activity Coordinator.

Compliance Duties:
•Complete all documentation and reports as required, and submit to corporate office as outlined in Policy Manual
•Perform leasing and compliance functions in accordance with Horizon's policies and regulations
•Abide by all Fair Housing Laws applying to multi-family and Senior housing


 Job Qualifications.
Education : Minimum high school diploma or equivalent. Bachelor's Degree, preferred. 

 Experience: Prior property management experience required, preferable in a leadership role. Must have leasing experience. Fair Housing training.

Required knowledge and skills:
•Ability to work with the public and senior citizens.
•Ability to plan and conduct recreational activities.
•Ability to be sensitive to the needs of others.
•Ability to organize effectively and efficiently.
•Creative aptitude.
•Ability to perform quality work within deadlines with or without direct supervision.
•Ability to communicate clearly and effectively, verbally and in writing, with residents, prospects and other third-party contacts, as well as with company managers and principals, owners, and all other office team members
•Ability to interact professionally with other employees, customers and within the community.
•Ability to work effectively as a team contributor on all assignments.
•Ability to work independently while understanding the necessity for communicating and coordinating work efforts with other employees and organizations.
•Ability to work a varied schedule including some weekends and nights.
•Ability to perform essential functions satisfactorily.
•Ability to read and interpret documents as well as the ability to write effective documentation and correspondence.
•Ability to calculate figures and amounts.
•Ability to apply common sense to carry out detailed but unwritten or oral instructions.

Computer Applications:

Intermediate to Advance Microsoft Suite abilities. Typing 45 wpm.
    ",Community Manager-Highland Village 1&2 Apartments
"
        
Commercial Vehicle Inspector**    Part-time / Contractor

Looking for a Qualified Vehicle Inspector to conduct vehicle inspections of new and used heavy duty equipment, cars, trucks, vans, SUVs, construction equipment, and recreation equipment within a designated geographical area. The inspector would be responsible for performing uniform, consistent inspections in the field for off-lease, company, and fleet return vehicles. 
Primary Skills: 
1.	Perform vehicle inspections at auction locations, but could variety of locations including dealerships, and customer site locations. Inspectors would be responsible for the quality and consistency of their inspection. Both the inspection and the related transmission must be timely. 

2.	Possess excellent oral and written communication skills and have the ability to listen and respond effectively to customer concerns. Foster good public relations with lessees, dealer principals, and auction personnel.


3.	Document and record vehicle damages, utilizing a computer, digital camera, and tire depth gauge. Ability to identify engine damage on diesel/gas engines, physical damage, previous repair, frame damage, hail damage or flood damage and explain the results of the inspection within the report.

4. Transmit inspection results and pictures daily upon completion of inspection while on site.

Experience:
Must maintain a neat appearance. Mechanical knowledge of diesel engine commercial vehicles is a plus. Must have good communication skills and be able to take direction. 
 
Please reply with a resume for consideration. This is a PART-TIME/CONTRACT position.
    ",Commercial Vehicle Inspector/contractor**
"
        
Morgenson Realty Company, Inc. is looking for a friendly individual who loves working with people to fill the Property Manager's position for a uniquely designed apartment community.  The Property Manager is responsible for the day to day operations of the property including marketing, renting, tenant relations, rent collection, facilities management, overseeing maintenance plus additional responsibilities.

One should have excellent customer service, great communication, detailed-organization ability  the ability to provide positive team leadership and problem solving skills. Company would preferred to have said person have a minimum of 2 years property management experience. 

This is a full time position requiring a minimum of 40 hours per week and weekends.

Send resume    ",Property Manager Position Available
"
        









 
 










    ",Buyer
"
        
District Manager: 

We are highly motive Company looking for a high-achiever District Manager to act as key ling between the Corporate headquarters and assigned District Branches. You will help branches stay up to date with company policies and you will ensure focus on increasing sales and building productive customers' relations. The successful candidate will oversee district's day to day operations and will carry out company policies and guidelines.

Responsibilities
•	Acting as a liaison between Corporate Headquarters and the areas branches by making regular visits and 
        interacting with management
•	Overseeing operational practices
•	Coordinating with, reporting and making recommendations to senior management.
•	Overseeing operational practices making sure that each branch runs smoothly and meets projected revenues 
        and sales estimates
•	Coordinate with, report and make recommendations to senior management in to grow market share, improve 
        customer experience and drive growth
•	Ensure that each branch delivers value and excellence to the clients
•	Cultivate and grow a strong team of committed branch managers that will maintain profit margins and 
        implement business plan
•	Ensure that all projects are executed profitably and in compliance to standardized business practices
•	Apply innovative approaches and techniques to keep updated with competition

Requirements
•	Proven district management working experience
•	Entrepreneurial mindset and clear thinking
•	Business development and strategy implementation knowledge
•	Strong leadership and decision-making skills
•	Ability to sell, manage and drive growth
•	Excellent customer relationship management skills
•	BS/MA in Business Administration

Apply, send Resume
    ",District Manager
"
        
Propecta is a specialized SEO agency working on the leading edge of modern SEO to drive unparalleled results for our clients and partners. Our professional team is trusted by notable technology brands, including Talend and Atlassian, as well as other B2B tech organizations and an exciting variety of forward-thinking clientele. We are a fast-paced, collaborative, tight-knit remote team, and we're looking for a new rockstar Technical SEO Analyst to support our growing client base.

The right candidate excels at all things technical SEO while maintaining a strategic mindset. He or she is able to not only identify, explain, and execute technical SEO tasks, but also to prioritize work that supports and drives a results-driven overarching strategy. 

A Technical SEO Strategist collaborates with others on a daily basis, during regular business hours. This position is remote, although the ideal candidate would be within driving distance of our company headquarters in Lake Geneva, WI. This salaried position is full-time.

Job Description
Historically, SEO was a technical task. Today and into the future, Propecta recognizes that SEO depends substantially on content marketing fundamentals such as exceptional content, an effective understanding of your audience, the popularity of a website and individual content assets, an overall content strategy, and the ability to convert SEO traffic into new business.

Our company is designed in reaction to these changes in the nature of SEO, and the Technical SEO Analyst plays an important role supporting team members and driving results for clients.

The Technical SEO Analyst position is one of both an analyst and an SEO practitioner. This role is the lynchpin of technical SEO fulfillment, reporting, and strategically informative analysis and recommendations. He or she is able to efficiently analyze technical SEO issues, effectively prioritize insights and ideas, and confidently communicate strategic direction to both internal and external stakeholders. 

Responsibilities
Analyze and understand complex SEO issues or needs to produce simple explanations and specific action plans that support the client's SEO strategy
Fulfillment of reporting and interpreting data into meaningful analysis that can lead to decisions by our SEO Account Strategists and client-side teams
Support Account Strategists during reporting presentations by answering technical questions from clients
Optimize all technical aspects of client websites for maximized indexing and keyword relevance
Keep pace with SEO, search engine, and internet marketing industry trends and developments and report changes (and subsequent strategy updates) as needed
Advise, collaborate with, and synthesize feedback from internal teams, to push for technical SEO best practices
Use a variety of tools to monitor rankings, traffic, conversions, competitors, and link profiles for clients
Maximize organic traffic growth for clients, ensuring that modern SEO techniques are properly and consistently implemented
Promote and foster analytical skills for all team members
Analytics: 
Validate data integrity in Google Analytics and other platforms 
Fulfill client Monthly Dashboards & Quarterly Reports
Fulfill one-off analysis and reporting to inform Strategy and Editorial teams
Complete Technical SEO Audits
Setup and configuration of WordPress plugins

Requirements
3 years of technical SEO experience (in-house or agency)
Extensive experience (and proficiency) with Webmaster Tools and Google Analytics
Proven ability to investigate issues with Webmaster Tools, analyze changes in organic (and other) traffic to deliver business insights and recommendations.
Experienced with Google Tag Manager
Advanced capability with Excel and Google Sheets 
Must be able to develop robust spreadsheet-based tools 
Demonstrated ability to create easy-to-understand and easy-to-replicate reports
Experience creating and maintaining project schedules using project management systems
Experience working with back-end SEO elements such as .htaccess, robots.txt, metadata ,and site speed optimization to optimize website performance
Experience in quantifying marketing impact and SEO performance 
Strong understanding of technical SEO (sitemaps, crawl budget, canonicalization, Schema.org, etc.)
Proven ability to navigate WordPress, troubleshoot issues, and fulfill technical SEO resolutions within WordPress
Excellent problem solving and analytical skills with the ability to dig extensively into metrics and analytics
Effective (efficient and clear) cross-functional communicator

This is a full-time position. Salary ranges from $46,000-$52,000 depending on experience, in addition to PTO and health benefits. It is primarily remote - if near Lake Geneva, WI, periodic in-office work days are required. Working hours are generally 9AM to 5PM.

To apply, please email apply-a0d6876d1deb@propecta.breezy-mail.com and include relevant highlights from your background and your resume.
    ",Technical SEO Strategist
"
        

 


 
 
 

 
 
 

 
 


 
 
 









  

    ",Limited new openings for early 2019.Teach English in China.
"
        
Morgenson Realty Company, Inc. is looking for a friendly individual who loves working with people to fill the Property Manager's position for a uniquely designed apartment community. The Property Manager is responsible for the day to day operations of the property including marketing, renting, tenant relations, rent collection, facilities management, overseeing maintenance plus additional responsibilities.

One should have excellent customer service, great communication, detailed-organization ability the ability to provide positive team leadership and problem solving skills. Company would preferred to have said person have a minimum of 2 years property management experience. 

This is a full time position requiring a minimum of 40 hours per week and weekends.

Send resume    ",Property Manager Position Available
"
        
City Manager Job Description

Company Description

Frontdesk serves the next generation of business travelers by managing a national portfolio of corporate and short-term rental properties. Our properties are located in the most desirable neighborhoods for young professionals to live, work, and play, with hotel-like amenities and all the comforts of home. We offer an online, mobile-optimized booking experience catered to those who book their own travel, whether they are traveling for business, pleasure, or both. 

Job Description

Frontdesk LLC, has an immediate opening for a City Manager in the city of Milwaukee. In each city where we have rental units, we manage all of the day to day operations for our guests and provide them 24 hour customer service. The city manager has the most significant operational role in a Frontdesk city, and is responsible for managing all daily operations and metrics for the city.

Duties include:

Managing in-house team of cleaners
Managing inventory of operational supplies
Overseeing upkeep and maintenance for Frontdesk properties
Guest communications and troubleshooting
Primary point of contact for property manager communications
Assisting with furnishing of new units
Various projects as assigned, including the expansion of other core business operations

We are a very fast-growing company and need someone that can manage themselves well, is very organized, and can work in a fast-paced, rapidly changing environment. This job is on call 24/7 unless otherwise noted, but can be very flexible in that you generally set your own schedule day to day.

Immediate opening, position is benefits eligible.    ",City Manager Needed for Short Term Rental Company
"
        
Mequon, WI based real estate property management firm seeks part time (20-25 Hours per week) qualified person to handle the following duties:

-Process rent checks
-Deposits
-Process bill paying
-Balance accounts
-Maintain financial reports and general ledgers
-Prepare monthly reports through our software
-Verify online line accounts

Qualifications:
-Must be detail oriented
-Must be good with numbers
-Must be honest and trustworthy
-At least 3-5 years related experience
-Good written and verbal skills
-Must be self motivated
-Proficient with email, Microsoft WORD, Excel
-Familiar with Rent Manager software or similar is a plus
-Familiar with Property Management is a must!

Job Type: Part-time

Please send Resumes to bpm@bodnerproperties.com    ",Part-Time Bookkeeper
"
        
County Leaf Program is hiring Scouts for the Leaf Program. 

Scouts go ahead of the leaf vac trucks and inspect for non-conformances and leave door hangers. Scout trucks also take video of the curb line to provide proof of service.

Daily routine includes driving township zones to insure services are provided in the most efficient manner. 

Includes interaction with residents to assist in providing high quality service. 

Also have tip site monitor positions available. 

Open interview Monday at 9:00 AM at 1657 Commerce Drive, South Bend, IN. 46628. 

Please text the number provided with your name/cell#/email if you can attend. 

Please reply with resume if you have available.    

    ",Retirees looking for outdoor customer service work
"
        
County Leaf Program is hiring Scouts for the Leaf Program. 

Scouts go ahead of the leaf vac trucks and inspect for non-conformances and leave door hangers. Scout trucks also take video of the curb line to provide proof of service.

Daily routine includes driving township zones to insure services are provided in the most efficient manner. 

Includes interaction with residents to assist in providing high quality service. 

Also have tip site monitor positions available. 

Open interview Monday at 9:00 AM at 1657 Commerce Drive, South Bend, IN. 46628. 

Please text the number provided with your name/cell#/email if you can attend. 

Please reply with resume if you have available.    

    ",Retirees looking for outdoor customer service work
"
        
Apply Here: 

ITU AbsorbTech is seeking a Production Supervisor on 1st Shift to join our South Bend, IN team. This is an exciting time to join our company because we are growing leaps and bounds in all locations. We provide an environmentally friendly industrial laundry service that helps our customers meet their environmental initiatives. In our quest to hire the right candidate for a great career, we want someone excited about actively participating in the rapid growth of our company. As a Production Supervisor, you will verify product counts for distribution and manage our process, all while operating within the expense budget. If you crave a stable career with variety, and an opportunity for growth, please apply today! 

SUMMARY OF POSITION:
This position is responsible for producing all products in the quantities needed in accordance with ITU AbsorbTech's quality policy, while operating within the expense budget. Also responsible for training, supervision and discipline of the production employees in accordance with all ITU AbsorbTech policies and procedures as formulated by management. This role is 1st shift, Monday - Friday 9:00am-6:30pm. There may be occasional shift changes depending on business needs. 
 
 ESSENTIAL FUNCTIONS:
1.	Produce all products in the proper quantities for scheduled deliveries and of the proper quality while operating within the expense budget.
2.	Work with maintenance to keep machinery and equipment well maintained, up-to-date technologically and in adequate quantity for capacity requirements.  Train employees by ISO standards to assure equipment is operated safely and correctly.
3.	Ensure employees they are supervising are working in accordance with our environmental (air and water) permits
4.	Continually initiate cost savings project ideas
5.	Appraise, coach and train subordinate personnel to help them achieve goals and performance requirements.
6.	Maintain proper and effective utilization of staffing, equipment, material, space and other resources.
7.	Train, motivate and create an environment of accountability for employees to maintain a culture where Accidents Are Unacceptable.
8.	Provide recognition and feedback to increase the effectiveness of production employees.  Communicate to employee's the usage and importance of interpersonal managing skills.  Maintain proper communication with employees, plant manager and other departments for the benefit of the operation.
9.	Develop goals and specific targets for production area.  Train and motivate employees to achieve these objectives.  Be open to ideas, suggestions for improvement form all employees.  Implement Lean Manufacturing and 5-S concepts when applicable. Implement and manage ISO projects as needed and directed.
10.	Review monthly P & L and Daily and Weekly Operations Summary.
11.	Continue to develop job skills through internal and external continuing education opportunities.
12.	All other duties as assigned by immediate supervisor.
 
EDUCATION AND EXPERIENCE: 
High School Diploma with 4-6 years of relevant experience required.  Previous experience in supervision and product specific knowledge is preferred.  The incumbent must possess strong leadership skills and organizational skills.

Our benefits include:
•	Competitive Pay
•	Medical, Dental and Vision Insurance Package
•	401(k) with company match
•	Disability and Life Insurance Package
•	Paid Time Off and Holidays
•	Career Advancement Opportunities

About ITU AbsorbTech
ITU AbsorbTech, headquartered in New Berlin, WI, is one of the largest family-owned industrial laundry service companies in the nation with 13 locations throughout the US. And we are growing rapidly!
We help companies eliminate a waste stream and support safety goals with reuse and recycling programs such as printer and shop towels, reusable oil absorbents, garments, and slip prevention floor mats.
We offer a balanced work environment where Team Play and personal accomplishment are highly valued. In exchange for these talents, we offer competitive compensation, an outstanding benefits plan, a fantastic work culture, and professional development opportunities through AbsorbU, our award-winning training program.

Apply here: 
    ",1st Shift - Production Supervisor - Great Company & Benefits
"
        
Business Development Manager (South Bend, IN). Requirements: Bachelors Degree in Finance, Marketing or related & 18 months experience as a Sales Representative or related. Fluent in Russian. Full-time position. Send cover letter, resumé and employment references by email (Absolutely no phone calls.)    ",Business Development Manager
"
        
County Leaf Program is hiring Scouts for the Leaf Program. 

Scouts go ahead of the leaf vac trucks and inspect for non-conformances and leave door hangers. Scout trucks also take video of the curb line to provide proof of service.

Daily routine includes driving township zones to insure services are provided in the most efficient manner. 

Includes interaction with residents to assist in providing high quality service. 

Also have tip site monitor positions available. 

Open interview Monday at 9:00 AM at 1657 Commerce Drive, South Bend, IN. 46628. 

Please text the number provided with your name/cell#/email if you can attend. 

Please reply with resume if you have available.    

    ",Retirees looking for outdoor customer service work
"
        
County Leaf Program is hiring Scouts for the Leaf Program. 

Scouts go ahead of the leaf vac trucks and inspect for non-conformances and leave door hangers. Scout trucks also take video of the curb line to provide proof of service.

Daily routine includes driving township zones to insure services are provided in the most efficient manner. 

Includes interaction with residents to assist in providing high quality service. 

Also have tip site monitor positions available. 

Open interview Monday at 9:00 AM at 1657 Commerce Drive, South Bend, IN. 46628. 

Please text the number provided with your name/cell#/email if you can attend. 

Please reply with resume if you have available.    

    ",Retirees looking for outdoor customer service work
"
        
You can start part-time and build your own empire within our fast growing company. We are in the financial services industry, but we don't hire backgrounds. We hire top performers. If you're average, you can earn $75K, if you're good $150K and if you're a superstar you can earn $300K plus. Start by visiting our website:

www.aldersoncloutieragency.com    ",Ambitious Sales People $75K to $300K
"
        
B2B Commercial Sales
AT&T sales and promotions company in area seeking B2B Commercial Sales people and Managers. With the new offers and our unique closing tools this is an easy sale!

Responsibilities include:
Generate and qualify leads
Make sales calls to new and existing clients
Respond to sales inquiries and concerns by phone or in person
Ensure Customer Satisfaction and good client relationship
Follow up on Sales activity
Source and develop client referrals
Plan and conduct direct sales activities

Highest industry commissions and bonuses paid. Entry Level Reps earn $60,000, experienced Reps earn $140,000+.

Make your own schedule. We do not micro-manage as long as your activity is there. Get involved in this ""lay down"" sales opportunity by applying today!

Find out more by visiting www.startmybiztoday.com    ",B2B Commercial Sales NEEDED!!!
"
        
We are seeking an experienced Full Time Leasing Agent/Assistant Property Manager for our Plainwell property. Michigan Asset Group is a rapidly growing company that has a lot to offer and we are looking for someone experienced to join our team. Job responsibilities would include but not limited to: Being versed in Tax Credit, knowledge of OneSite, leasing, rent collection, answering phones, filing, yearly recertification's, showing apartments, other office related duties. Qualified candidate would have to have apartment management experience, and be able to pass a background check.

Responsibilities will include but not limited to:
•	Lease apartments
•	Generate and Clear work orders
•	Handle office related tasks such as bank deposits, filing, computer operations, answer phones
•	Handle foot traffic that comes into the office
•	Tax Credit property experience preferred
•	Onesite property management experience helpful
•	People person, team player
Required Experience: 
•	Excellent customer service
•	Hard worker
•	High School diploma or equivalent
•	Tax Credit Property experience is a plus
•	Must be able to pass a background check
•	Valid Driver's License
Compensation:
•	Full time, Hourly Position
•	Competitive Wage
•	Comprehensive Benefits Plan Available
•	Employer match 401K
•	Paid Vacation and Holidays
    ",Leasing Agent/Assistant Property Manager
"
        
B2B Commercial Sales
AT&T sales and promotions company in area seeking B2B Commercial Sales people and Managers. With the new offers and our unique closing tools this is an easy sale!

Responsibilities include:
Generate and qualify leads
Make sales calls to new and existing clients
Respond to sales inquiries and concerns by phone or in person
Ensure Customer Satisfaction and good client relationship
Follow up on Sales activity
Source and develop client referrals
Plan and conduct direct sales activities

Highest industry commissions and bonuses paid. Entry Level Reps earn $60,000, experienced Reps earn $140,000+.

Make your own schedule. We do not micro-manage as long as your activity is there. Get involved in this ""lay down"" sales opportunity by applying today!

Find out more by visiting www.startmybiztoday.com    ",B2B Commercial Sales NEEDED!!!
"
        
Business Development Manager (South Bend, IN). Requirements: Bachelors Degree in Finance, Marketing or related & 18 months experience as a Sales Representative or related. Full-time position. Send cover letter, resumé and employment references by email (Absolutely no phone calls.)    ",Business Development Manager
"
        
My name is Jared Reichwein, I'm the President of Jared The Painter I've been in business since 2010, we specialize in residential and commercial painting services, and interested in having someone that could come in and help out me out with the manageability of running a more successful company?I'm willing to sit down with someone that has been in the painting Industry for a length of time and help me to be more frugal or conservative about my business decisions. I have strong beliefs in what I'm passionate about, but my struggles are not enough capital/profitability, and good help has always been fun as well. I'm willing to show my books and I understand that we all need a little help in our lives to get where we all want to be. I know there are still great people left in this world and I know owning a business has its ups and downs, but I'm a fighter and giving up isn't in my category. Please call me today and understand having two brains is always better then one.    ",I'm looking for an investor in my business
"
        
Young family seeking a personal assistant to assist with both personal tasks as well as support multiple entrepreneurial ventures. This is a unique opportunity if you are interested in learning how small businesses run. Great for college students.

Ideal candidate would possess the following:

•Reliable
•Great attention to detail
•Trustworthy
•Willingness to be flexible as the role adapts to meet all parties needs

Ideal candidate could handle the following; however, if certain tasks aren't a good fit we could adjust:

•Assisting with all-things-business-related. Must be comfortable using/learning technology such as Microsoft Excel, Shopify, and other web-site tools (we will provide all training on any software that you are unfamiliar with)
     
     -Packing/prepping items to be shipped
     -Online research
     -Database/web site searching
     -Sourcing items at local stores

•Child-friendly

     -Occasional baby-sitting/watching a 3-year-old

•Personal Assistant tasks

     -Errands
     -Clean-up (not deep-cleaning, simply picking up items around the house)
     -Other standard house-hold tasks

Candidate would work out of the owner's home office in Schererville. To start, we would schedule roughly 25-30 hours per week. HOURS ARE COMPLETELY FLEXIBLE AND CAN BE DETERMINED BY CANDIDATE.
Pay would start at $15/hour.

Anyone interested MUST provide a resume with their first communication as well as list three references, preferably one from a teacher/professor or other established professional in the community.

REQUIREMENT: Must be currently enrolled in college or have graduated in the past 24 months.
    ",Seeking College Student as Assistant
"
        
You belong at Dayton Freight! Join our team of Managers and be a part of The Dayton Difference.
 
Dayton Freight is a recognized leader in regional LTL transportation services and we are truly different from other carriers. It's apparent in how we treat our customers, and each other. Our culture is one of teamwork, respect and professional honesty. Dayton Freight appreciates its employees: you are not just a number, you are family. We attribute our growth to the dedication of our employees, and the loyalty of our customers and business partners.
Shop Managers are responsible for the planning, coordinating and implementing methods and procedures for the most efficient and economical repairs of equipment in an error-free manner, as well as supervising and coordinating maintenance employees to achieve maximum maintenance performance and profit objectives.

Additional job duties include:

•	Inspecting and measuring performance of maintenance personnel to improve overall Shop operations
•	Reviews daily maintenance schedule and confers with shift personnel
•	Assists with training, development and evaluations of maintenance personnel
•	In conjunction with the Region Maintenance Manager, recruits, qualifies, interviews, hires, trains and develops maintenance personnel
•	Assists the Region Maintenance Manager in the investigation, reporting and initiation of corrective action for accidents, job related injuries or employee discrepancies
•	Maintains excellent communication with external and internal customers
•	Ensures maintenance facility conforms to prescribed standards of safety and cleanliness
•	Understands and applies company safety practices including DOT, EPA, ICC and OSHA rules and regulations
•	Effectively handles special assignments as directed
•	Continuously improves processes

Minimum Qualifications:

•	Knowledge of the LTL/Transportation Industry
•	Experience in management
•	Experience in a maintenance setting

Benefits:

•	Stable and growing organization
•	Competitive weekly pay
•	Quick advancement
•	Quality Hours
•	Professional, positive and people-centered work environment
•	Modern facilities
•	Clean, late model equipment
•	Comprehensive benefits package: Health, Dental, Vision, AD&D, 401(k), etc.
•	Paid holidays (8); paid vacation and personal days


Please Apply Online at: 
    ",Shop Manager - Dayton Freight Lines
